color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,category
Nicholas Meyer,112.0,110.0,120.0,664.0,Kurtwood Smith,12000.0,74888996.0,Action|Adventure|Sci-Fi|Thriller,Leonard Nimoy,Star Trek VI: The Undiscovered Country ,55513,16230,Nichelle Nichols,0.0,captain|explosion|klingon|moon|peace,http://www.imdb.com/title/tt0102975/?ref_=fn_tt_tt_1,188.0,English,USA,PG,30000000.0,1991.0,1000.0,7.2,2.35,0,Leonard_Nimoy|Kurtwood_Smith|Nichelle_Nichols|Nicholas_Meyer,16
Peter Cattaneo,132.0,102.0,11.0,1000.0,Bradley Cooper,15000.0,6409206.0,Comedy|Music,Emma Stone,The Rocker ,32311,33153,Josh Gad,4.0,20 years later|drummer|hdtv|rock band|rock star,http://www.imdb.com/title/tt1031969/?ref_=fn_tt_tt_1,104.0,English,USA,PG-13,15000000.0,2008.0,14000.0,6.2,1.85,0,Emma_Stone|Bradley_Cooper|Josh_Gad|Peter_Cattaneo,14
Roger Donaldson,29.0,132.0,79.0,1000.0,Anthony Hopkins,14000.0,8600000.0,Action|Adventure|Drama|History|Romance,Liam Neeson,The Bounty ,17982,28094,Laurence Olivier,2.0,lieutenant|lifeboat|mutiny|sailing ship|ship,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,95.0,English,UK,PG,25000000.0,1984.0,12000.0,7.0,2.35,1000,Liam_Neeson|Anthony_Hopkins|Laurence_Olivier|Roger_Donaldson,47
Yarrow Cheney,165.0,87.0,11.0,745.0,Eric Stonestreet,1000.0,323505540.0,Animation|Comedy|Family,Steve Coogan,The Secret Life of Pets ,24407,4782,Albert Brooks,0.0,animal control|lost animal|mongrel|pet|terrier,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,155.0,English,Japan,PG,75000000.0,2016.0,904.0,6.8,1.85,36000,Steve_Coogan|Eric_Stonestreet|Albert_Brooks|Yarrow_Cheney,4
Jean-Jacques Annaud,76.0,136.0,218.0,400.0,Mako,11000.0,37901509.0,Adventure|Biography|Drama|History|War,Brad Pitt,Seven Years in Tibet ,96385,12226,Victor Wong,1.0,austria|dalai lama|himalaya|mountain|tibet,http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1,119.0,English,USA,PG-13,70000000.0,1997.0,691.0,7.0,2.35,0,Brad_Pitt|Mako|Victor_Wong|Jean-Jacques_Annaud,7
Alexandre Aja,251.0,89.0,192.0,142.0,Ma??wenn,447.0,3645438.0,Horror,C??cile De France,High Tension ,55040,923,Oana Pellea,1.0,car chase|plot twist|police van|rear ending a car|slasher,http://www.imdb.com/title/tt0338095/?ref_=fn_tt_tt_1,539.0,French,France,Unrated,2200000.0,2003.0,236.0,6.8,2.35,0,C??cile_De_France|Ma??wenn|Oana_Pellea|Alexandre_Aja,1
Barry Levinson,100.0,133.0,272.0,628.0,Valeria Golino,10000.0,172825435.0,Drama,Tom Cruise,Rain Man ,383784,12285,Beth Grant,3.0,buick|convertible|last will and testament|savant|travel,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,331.0,English,USA,R,25000000.0,1988.0,898.0,8.0,1.85,12000,Tom_Cruise|Valeria_Golino|Beth_Grant|Barry_Levinson,23
Quentin Tarantino,304.0,137.0,16000.0,348.0,Michael Parks,890.0,66207920.0,Action|Crime|Drama|Thriller,Vivica A. Fox,Kill Bill: Vol. 2 ,512749,1959,Michael Bowen,0.0,assassin|assassination|bride|death|vengeance,http://www.imdb.com/title/tt0378194/?ref_=fn_tt_tt_1,935.0,English,USA,R,30000000.0,2004.0,387.0,8.0,2.35,0,Vivica_A._Fox|Michael_Parks|Michael_Bowen|Quentin_Tarantino,9
Mike Mills,261.0,105.0,101.0,157.0,Lou Taylor Pucci,1000.0,5776314.0,Comedy|Drama|Romance,Goran Visnjic,Beginners ,73349,2016,Mary Page Keller,4.0,actress|cancer|death|french|gay relationship,http://www.imdb.com/title/tt1532503/?ref_=fn_tt_tt_1,142.0,English,USA,R,3200000.0,2010.0,394.0,7.2,1.85,15000,Goran_Visnjic|Lou_Taylor_Pucci|Mary_Page_Keller|Mike_Mills,17
Shawn Levy,185.0,105.0,189.0,1000.0,Rami Malek,49000.0,177243721.0,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian ,130272,54039,Steve Coogan,2.0,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,209.0,English,USA,PG,150000000.0,2009.0,3000.0,5.9,2.35,2000,Robin_Williams|Rami_Malek|Steve_Coogan|Shawn_Levy,26
Raja Gosnell,100.0,91.0,67.0,597.0,Nick Zano,2000.0,94497271.0,Adventure|Comedy|Drama|Family|Romance,Jamie Lee Curtis,Beverly Hills Chihuahua ,17829,4729,Ali Hillis,1.0,chihuahua|german shepherd|mexico|potted plant|tijuana mexico,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,99.0,English,USA,PG,20000000.0,2008.0,641.0,3.7,2.35,0,Jamie_Lee_Curtis|Nick_Zano|Ali_Hillis|Raja_Gosnell,17
Luis Llosa,38.0,110.0,49.0,20.0,Rod Steiger,13000.0,57362581.0,Action|Crime|Drama|Romance|Thriller,Sylvester Stallone,The Specialist ,50148,13331,Emilio Estefan Jr.,2.0,bomb|cia|explosive|explosives expert|miami florida,http://www.imdb.com/title/tt0111255/?ref_=fn_tt_tt_1,116.0,English,Peru,R,45000000.0,1994.0,279.0,5.4,1.85,0,Sylvester_Stallone|Rod_Steiger|Emilio_Estefan_Jr.|Luis_Llosa,9
George Lucas,359.0,140.0,0.0,4000.0,Christopher Lee,20000.0,380262555.0,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode III - Revenge of the Sith ,520104,44042,Hayden Christensen,4.0,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,http://www.imdb.com/title/tt0121766/?ref_=fn_tt_tt_1,3286.0,English,USA,PG-13,113000000.0,2005.0,16000.0,7.6,2.35,10000,Natalie_Portman|Christopher_Lee|Hayden_Christensen|George_Lucas,32
David Twohy,214.0,112.0,123.0,787.0,Radha Mitchell,14000.0,39235088.0,Horror|Sci-Fi,Vin Diesel,Pitch Black ,193962,16196,Cole Hauser,0.0,captain|darkness|eclipse|space|survival,http://www.imdb.com/title/tt0134847/?ref_=fn_tt_tt_1,805.0,English,USA,R,23000000.0,2000.0,991.0,7.1,2.35,5000,Vin_Diesel|Radha_Mitchell|Cole_Hauser|David_Twohy,35
Hitoshi Matsumoto,72.0,99.0,17.0,16.0,Hitoshi Matsumoto,31.0,22770.0,Comedy|Drama,Lindsay Kay Hayward,R100 ,1658,81,Shinobu Terajima,0.0,coma|one word title|spitting|sushi|swimming pool,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12.0,Japanese,Japan,Unrated,5500000.0,2013.0,17.0,6.1,1.85,543,Lindsay_Kay_Hayward|Hitoshi_Matsumoto|Shinobu_Terajima|Hitoshi_Matsumoto,27
Ron Howard,79.0,139.0,2000.0,808.0,Delroy Lindo,960.0,136448821.0,Crime|Thriller,Lili Taylor,Ransom ,98989,3667,Rene Russo,1.0,bounty|fbi|millionaire|money|ransom,http://www.imdb.com/title/tt0117438/?ref_=fn_tt_tt_1,158.0,English,USA,R,80000000.0,1996.0,848.0,6.6,1.85,1000,Lili_Taylor|Delroy_Lindo|Rene_Russo|Ron_Howard,34
Andrew Currie,140.0,93.0,8.0,33.0,Henry Czerny,553.0,298110.0,Comedy|Drama|Horror|Sci-Fi,Alexia Fast,Fido ,25055,786,Kesun Loder,1.0,decapitation|neighbor|neighborhood|next door neighbor|zombie,http://www.imdb.com/title/tt0457572/?ref_=fn_tt_tt_1,98.0,English,Canada,R,8000000.0,2006.0,177.0,6.8,2.35,0,Alexia_Fast|Henry_Czerny|Kesun_Loder|Andrew_Currie,27
Adam Shankman,108.0,103.0,163.0,968.0,Judy Greer,11000.0,60400856.0,Comedy|Romance,Matthew McConaughey,The Wedding Planner ,61317,17533,Alex Rocco,2.0,chick flick|doctor|horseback riding|wedding|wedding planner,http://www.imdb.com/title/tt0209475/?ref_=fn_tt_tt_1,229.0,English,Germany,PG-13,35000000.0,2001.0,2000.0,5.2,2.35,0,Matthew_McConaughey|Judy_Greer|Alex_Rocco|Adam_Shankman,46
Kevin Jordan,21.0,90.0,4.0,113.0,Christa Miller,20000.0,277233.0,Comedy|Romance,Derick Martini,Smiling Fish & Goat on Fire ,2631,20814,Ion Overman,5.0,accountant|actor|animal in title|mail carrier|single parent,http://www.imdb.com/title/tt0162348/?ref_=fn_tt_tt_1,26.0,English,USA,R,40000.0,1999.0,467.0,7.6,1.85,0,Derick_Martini|Christa_Miller|Ion_Overman|Kevin_Jordan,8
Tom Tykwer,245.0,118.0,670.0,294.0,Br??an F. O'Byrne,6000.0,25450527.0,Action|Crime|Drama|Mystery|Thriller,Naomi Watts,The International ,80196,7654,Armin Mueller-Stahl,0.0,bank|chase|district attorney|interpol|murder,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,190.0,English,USA,R,50000000.0,2009.0,450.0,6.5,2.35,0,Naomi_Watts|Br??an_F._O'Byrne|Armin_Mueller-Stahl|Tom_Tykwer,0
RZA,208.0,107.0,561.0,353.0,RZA,746.0,15608545.0,Action,Rick Yune,The Man with the Iron Fists ,53471,2377,Daniel Wu,3.0,blacksmith|box office flop|chop socky|critically bashed|village,http://www.imdb.com/title/tt1258972/?ref_=fn_tt_tt_1,224.0,English,USA,R,15000000.0,2012.0,561.0,5.4,2.35,29000,Rick_Yune|RZA|Daniel_Wu|RZA,32
David Carson,98.0,118.0,18.0,906.0,Alan Ruck,1000.0,75668868.0,Action|Adventure|Mystery|Sci-Fi|Thriller,LeVar Burton,Star Trek: Generations ,60504,6427,Jonathan Frakes,0.0,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,http://www.imdb.com/title/tt0111280/?ref_=fn_tt_tt_1,249.0,English,USA,PG,35000000.0,1994.0,946.0,6.6,2.35,0,LeVar_Burton|Alan_Ruck|Jonathan_Frakes|David_Carson,16
Barry Levinson,108.0,134.0,272.0,215.0,James Pickens Jr.,548.0,36976367.0,Drama|Mystery|Sci-Fi|Thriller,Peter Coyote,Sphere ,81611,1044,Huey Lewis,3.0,manifestation|ocean|spacecraft|spaceship|sphere,http://www.imdb.com/title/tt0120184/?ref_=fn_tt_tt_1,274.0,English,USA,PG-13,75000000.0,1998.0,270.0,6.0,2.35,0,Peter_Coyote|James_Pickens_Jr.|Huey_Lewis|Barry_Levinson,11
Adrienne Shelly,173.0,108.0,191.0,336.0,Cheryl Hines,597.0,19067631.0,Comedy|Drama|Romance,Lew Temple,Waitress ,37714,1981,Eddie Jemison,1.0,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,204.0,English,USA,PG-13,2000000.0,2007.0,541.0,7.1,1.85,0,Lew_Temple|Cheryl_Hines|Eddie_Jemison|Adrienne_Shelly,17
Dan Scanlon,376.0,104.0,37.0,760.0,Tyler Labine,12000.0,268488329.0,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Monsters University ,235025,14863,Sean Hayes,0.0,cheating|fraternity|monster|singing in a car|university,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265.0,English,USA,G,200000000.0,2013.0,779.0,7.3,1.85,44000,Steve_Buscemi|Tyler_Labine|Sean_Hayes|Dan_Scanlon,33
Michael Cristofer,93.0,118.0,49.0,155.0,Gregory Itzin,11000.0,16252765.0,Drama|Mystery|Romance|Thriller,Angelina Jolie Pitt,Original Sin ,44913,11662,Jack Thompson,1.0,delaware|erotica|money|pursuit|sex scene,http://www.imdb.com/title/tt0218922/?ref_=fn_tt_tt_1,181.0,English,France,R,42000000.0,2001.0,216.0,6.0,2.35,3000,Angelina_Jolie_Pitt|Gregory_Itzin|Jack_Thompson|Michael_Cristofer,20
Fred Savage,52.0,89.0,0.0,405.0,Brian Doyle-Murray,555.0,13235267.0,Comedy|Family,Lochlyn Munro,Daddy Day Camp ,12339,1752,Tamala Jones,2.0,competition|estranged father|skunk|summer camp|wall,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,32.0,English,USA,PG,6000000.0,2007.0,484.0,2.9,1.85,256,Lochlyn_Munro|Brian_Doyle-Murray|Tamala_Jones|Fred_Savage,14
David S. Ward,57.0,107.0,42.0,808.0,Tom Berenger,1000.0,49797148.0,Comedy|Sport,Corbin Bernsen,Major League ,49007,3435,Rene Russo,3.0,cleveland indians|league|manager|owner|team,http://www.imdb.com/title/tt0097815/?ref_=fn_tt_tt_1,97.0,English,USA,R,11000000.0,1989.0,854.0,7.2,1.85,0,Corbin_Bernsen|Tom_Berenger|Rene_Russo|David_S._Ward,14
Andy Fickman,166.0,98.0,99.0,433.0,Billy Brown,12000.0,67128202.0,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Dwayne Johnson,Race to Witch Mountain ,43328,14007,Tom Everett Scott,3.0,alien|military|mountain|spacecraft|ufo,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,110.0,English,USA,PG,65000000.0,2009.0,536.0,5.7,2.35,0,Dwayne_Johnson|Billy_Brown|Tom_Everett_Scott|Andy_Fickman,16
Tom Hanks,75.0,149.0,15000.0,982.0,Charlize Theron,15000.0,25809813.0,Comedy|Drama|Music,Tom Hanks,That Thing You Do! ,50311,28713,Ethan Embry,6.0,band|drummer|jazz|pennsylvania|song,http://www.imdb.com/title/tt0117887/?ref_=fn_tt_tt_1,212.0,English,USA,PG,26000000.0,1996.0,9000.0,6.9,1.37,0,Tom_Hanks|Charlize_Theron|Ethan_Embry|Tom_Hanks,19
D.J. Caruso,215.0,118.0,154.0,915.0,Ethan Embry,3000.0,101111837.0,Action|Mystery|Thriller,Rosario Dawson,Eagle Eye ,150764,5637,Cameron Boyce,3.0,audio surveillance|death|pentagon|technology|twin brother,http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1,318.0,English,USA,PG-13,80000000.0,2008.0,982.0,6.6,2.35,0,Rosario_Dawson|Ethan_Embry|Cameron_Boyce|D.J._Caruso,13
Brad Anderson,150.0,111.0,122.0,25.0,Eduardo Noriega,918.0,2203641.0,Crime|Drama|Mystery|Thriller,Thomas Kretschmann,Transsiberian ,42792,1252,Mac McDonald,0.0,35 mm digital camera|drugs|murder|train|travel,http://www.imdb.com/title/tt0800241/?ref_=fn_tt_tt_1,162.0,English,Spain,R,15000000.0,2008.0,278.0,6.7,2.35,0,Thomas_Kretschmann|Eduardo_Noriega|Mac_McDonald|Brad_Anderson,0
Gavin Hood,152.0,94.0,151.0,29.0,Nambitha Mpumlwana,113.0,2912363.0,Crime|Drama,Terry Pheto,Tsotsi ,25063,278,Rapulana Seiphemo,1.0,baby|bathing a baby|criminal|slum|vomiting,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,177.0,Zulu,UK,R,3000000.0,2005.0,64.0,7.3,2.35,0,Terry_Pheto|Nambitha_Mpumlwana|Rapulana_Seiphemo|Gavin_Hood,34
Bruce Beresford,129.0,105.0,78.0,298.0,Annabeth Gish,984.0,116735231.0,Crime|Mystery|Thriller,Bruce Greenwood,Double Jeopardy ,56646,2129,Bruce Campbell,0.0,blood|murder|sex scene|wrongful arrest|wrongful conviction,http://www.imdb.com/title/tt0150377/?ref_=fn_tt_tt_1,336.0,English,USA,R,70000000.0,1999.0,489.0,6.4,2.35,0,Bruce_Greenwood|Annabeth_Gish|Bruce_Campbell|Bruce_Beresford,0
Len Wiseman,226.0,133.0,235.0,105.0,Kevin Grevioux,955.0,51483949.0,Action|Fantasy|Thriller,Sophia Myles,Underworld ,208092,1777,Shane Brolly,0.0,blood|death|hybrid|vampire|werewolf,http://www.imdb.com/title/tt0320691/?ref_=fn_tt_tt_1,806.0,English,UK,R,22000000.0,2003.0,593.0,7.0,2.35,0,Sophia_Myles|Kevin_Grevioux|Shane_Brolly|Len_Wiseman,16
John Frankenheimer,70.0,99.0,287.0,44.0,Temuera Morrison,10000.0,27663982.0,Horror|Sci-Fi|Thriller,Marlon Brando,The Island of Dr. Moreau ,26051,10469,Marco Hofschneider,2.0,animal experimentation|chimera|island|jungle|mutant,http://www.imdb.com/title/tt0116654/?ref_=fn_tt_tt_1,164.0,English,USA,PG-13,40000000.0,1996.0,368.0,4.4,2.35,0,Marlon_Brando|Temuera_Morrison|Marco_Hofschneider|John_Frankenheimer,35
Jir?? Menzel,99.0,113.0,44.0,4.0,Ivan Barnev,61.0,617228.0,Comedy|Drama|Romance|War,Julia Jentsch,I Served the King of England ,6183,92,Milan Lasica,1.0,hotel|legs|lingerie|waiter|wealth,http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1,27.0,Czech,Czech Republic,R,84450000.0,2006.0,12.0,7.4,1.85,1000,Julia_Jentsch|Ivan_Barnev|Milan_Lasica|Jir??_Menzel,17
Tim Burton,526.0,113.0,13000.0,16000.0,Chlo?? Grace Moretz,40000.0,79711678.0,Comedy|Fantasy|Horror,Johnny Depp,Dark Shadows ,199039,80849,Christopher Lee,7.0,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,479.0,English,USA,PG-13,100000000.0,2012.0,17000.0,6.2,1.85,82000,Johnny_Depp|Chlo??_Grace_Moretz|Christopher_Lee|Tim_Burton,39
David Gordon Green,75.0,90.0,234.0,15.0,Eddie Rouse,552.0,241816.0,Drama,Paul Schneider,George Washington ,6246,642,Damian Jewan Lee,0.0,cover up|north carolina|redemption|small town|teenager,http://www.imdb.com/title/tt0262432/?ref_=fn_tt_tt_1,76.0,English,USA,Unrated,42000.0,2000.0,61.0,7.5,2.35,451,Paul_Schneider|Eddie_Rouse|Damian_Jewan_Lee|David_Gordon_Green,23
Tim Burton,153.0,126.0,13000.0,390.0,Vincent Schiavelli,920.0,162831698.0,Action,Michael Gough,Batman Returns ,215255,2899,Andrew Bryniarski,0.0,box office hit|dc comics|gotham|mayor|penguin,http://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1,610.0,English,USA,PG-13,80000000.0,1992.0,811.0,7.0,1.85,0,Michael_Gough|Vincent_Schiavelli|Andrew_Bryniarski|Tim_Burton,32
Steven Soderbergh,108.0,101.0,0.0,685.0,Enrico Colantoni,8000.0,2506446.0,Comedy|Romance,Julia Roberts,Full Frontal ,8662,11327,Blair Underwood,0.0,birthday|friend|hollywood|party|sex,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,172.0,English,USA,R,2000000.0,2002.0,724.0,4.7,1.85,134,Julia_Roberts|Enrico_Colantoni|Blair_Underwood|Steven_Soderbergh,8
Hugh Hudson,90.0,125.0,46.0,249.0,Ben Cross,368.0,58800000.0,Biography|Drama|Sport,Alice Krige,Chariots of Fire ,40511,1651,John Gielgud,0.0,athlete|jew|missionary|olympic games|race,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,213.0,English,UK,PG,5500000.0,1981.0,303.0,7.2,1.85,0,Alice_Krige|Ben_Cross|John_Gielgud|Hugh_Hudson,29
Phyllida Lloyd,331.0,105.0,58.0,583.0,Jim Broadbent,11000.0,29959436.0,Biography|Drama|History,Meryl Streep,The Iron Lady ,82327,12894,Olivia Colman,1.0,british prime minister|female prime minister|politics|prime minister|told in flashback,http://www.imdb.com/title/tt1007029/?ref_=fn_tt_tt_1,350.0,English,UK,PG-13,13000000.0,2011.0,1000.0,6.4,2.35,18000,Meryl_Streep|Jim_Broadbent|Olivia_Colman|Phyllida_Lloyd,29
Jeff Tremaine,157.0,102.0,79.0,27.0,Georgina Cates,925.0,101978840.0,Comedy,Jackson Nicoll,Bad Grandpa ,77724,1018,Grasie Mercedes,0.0,child beauty pageant|grandson|hidden camera|jackass|road trip,http://www.imdb.com/title/tt3063516/?ref_=fn_tt_tt_1,162.0,English,USA,R,15000000.0,2013.0,38.0,6.6,1.85,26000,Jackson_Nicoll|Georgina_Cates|Grasie_Mercedes|Jeff_Tremaine,14
Joe Cornish,399.0,88.0,115.0,304.0,Luke Treadaway,1000.0,1024175.0,Action|Comedy|Sci-Fi|Thriller,John Boyega,Attack the Block ,82331,2011,Jodie Whittaker,6.0,alien|alien invasion|apartment|creature|gang,http://www.imdb.com/title/tt1478964/?ref_=fn_tt_tt_1,297.0,English,UK,R,13000000.0,2011.0,305.0,6.6,2.35,18000,John_Boyega|Luke_Treadaway|Jodie_Whittaker|Joe_Cornish,35
Terry Zwigoff,122.0,111.0,72.0,722.0,Steve Buscemi,19000.0,6200756.0,Comedy|Drama,Scarlett Johansson,Ghost World ,96129,34106,T.J. Thyne,0.0,art class|diner|friend|graduation|high school,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,488.0,English,USA,R,7000000.0,2001.0,12000.0,7.4,1.85,5000,Scarlett_Johansson|Steve_Buscemi|T.J._Thyne|Terry_Zwigoff,38
Paul Thomas Anderson,546.0,144.0,0.0,15.0,Jeffrey W. Jenkins,378.0,16377274.0,Drama,Mike Howard,The Master ,105144,427,Bruce Goodchild,31.0,drifter|past life regression|psychological testing|right hand man|scientology,http://www.imdb.com/title/tt1560747/?ref_=fn_tt_tt_1,405.0,English,USA,R,32000000.0,2012.0,18.0,7.1,1.85,27000,Mike_Howard|Jeffrey_W._Jenkins|Bruce_Goodchild|Paul_Thomas_Anderson,23
John Hamburg,215.0,105.0,29.0,257.0,Jon Favreau,24000.0,71347010.0,Comedy|Romance,J.K. Simmons,"I Love You, Man ",166194,28928,Jane Curtin,2.0,bromance|friend|gay brother|homosexual subtext|wedding,http://www.imdb.com/title/tt1155056/?ref_=fn_tt_tt_1,215.0,English,USA,R,40000000.0,2009.0,4000.0,7.1,1.85,0,J.K._Simmons|Jon_Favreau|Jane_Curtin|John_Hamburg,8
Paul Hunter,127.0,104.0,13.0,343.0,Mako,961.0,23020488.0,Action|Comedy|Fantasy,Jaime King,Bulletproof Monk ,42324,2422,Victoria Smurfit,3.0,monastery|monk|scroll|tibetan|tibetan monk,http://www.imdb.com/title/tt0245803/?ref_=fn_tt_tt_1,180.0,English,USA,PG-13,52000000.0,2003.0,691.0,5.5,2.35,846,Jaime_King|Mako|Victoria_Smurfit|Paul_Hunter,14
Mamoru Hosoda,29.0,82.0,99.0,44.0,Colleen O'Shaughnessey,93.0,9628751.0,Action|Adventure|Animation|Family|Sci-Fi,Lara Jill Miller,Digimon: The Movie ,5164,315,Mona Marshall,0.0,based on video game|box office hit|computer|digimon|internet,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,65.0,English,USA,PG,5000000.0,2000.0,45.0,5.9,1.85,207,Lara_Jill_Miller|Colleen_O'Shaughnessey|Mona_Marshall|Mamoru_Hosoda,21
Kevin Smith,93.0,123.0,0.0,781.0,Jason Mewes,1000.0,2122561.0,Comedy|Romance,Ethan Suplee,Mallrats ,99033,3254,Joey Lauren Adams,6.0,comic|ex girlfriend|jay and silent bob|mall|teenager,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,434.0,English,USA,R,6000000.0,1995.0,898.0,7.2,1.85,0,Ethan_Suplee|Jason_Mewes|Joey_Lauren_Adams|Kevin_Smith,8
Barry Levinson,42.0,110.0,272.0,551.0,Daniel Stern,801.0,14100000.0,Comedy|Drama,Steve Guttenberg,Diner ,14995,2943,Ellen Barkin,6.0,baltimore colts|diner|marriage|salesman|wedding,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87.0,English,USA,R,5000000.0,1982.0,796.0,7.2,1.85,0,Steve_Guttenberg|Daniel_Stern|Ellen_Barkin|Barry_Levinson,27
Michael D. Sellers,18.0,100.0,0.0,249.0,Carly Schroeder,640.0,71904.0,Comedy|Drama|Family,Katharine Ross,Eye of the Dolphin ,806,1491,George Harris,1.0,dolphin|island|research|tourist|town,http://www.imdb.com/title/tt0465407/?ref_=fn_tt_tt_1,18.0,English,USA,PG-13,2500000.0,2006.0,261.0,5.7,1.85,140,Katharine_Ross|Carly_Schroeder|George_Harris|Michael_D._Sellers,27
Walt Becker,70.0,92.0,12.0,1000.0,Joshua Mikel,35000.0,85884815.0,Adventure|Animation|Comedy|Family|Fantasy|Music,Bella Thorne,Alvin and the Chipmunks: The Road Chip ,9418,38450,Jesse McCartney,0.0,chipmunk|highway travel|on the road|plane|road movie,http://www.imdb.com/title/tt2974918/?ref_=fn_tt_tt_1,53.0,English,USA,PG,90000000.0,2015.0,1000.0,5.0,1.85,0,Bella_Thorne|Joshua_Mikel|Jesse_McCartney|Walt_Becker,4
Irvin Kershner,223.0,127.0,883.0,441.0,Kenny Baker,11000.0,290158751.0,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode V - The Empire Strikes Back ,837759,12643,Anthony Daniels,0.0,duel|famous twist|rebel|rescue|snowy landscape,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,900.0,English,USA,PG,18000000.0,1980.0,504.0,8.8,2.35,17000,Harrison_Ford|Kenny_Baker|Anthony_Daniels|Irvin_Kershner,32
Tom Putnam,22.0,86.0,15.0,0.0,Donald Austin,2.0,111300.0,Documentary,Brendan Doogie Milewski,Burn ,575,2,Craig Dougherty,0.0,abandoned building|detroit michigan|firefighter|michigan|urban setting,http://www.imdb.com/title/tt1781784/?ref_=fn_tt_tt_1,6.0,English,USA,Not Rated,225000.0,2012.0,0.0,7.5,2.35,801,Brendan_Doogie_Milewski|Donald_Austin|Craig_Dougherty|Tom_Putnam,14
Alan Parker,99.0,145.0,317.0,70.0,Devon Murray,876.0,13038660.0,Drama,Emily Watson,Angela's Ashes ,16995,1282,Pauline McLynn,1.0,drink|ira|irish|limerick|prejudice,http://www.imdb.com/title/tt0145653/?ref_=fn_tt_tt_1,163.0,English,USA,R,25000000.0,1999.0,219.0,7.3,1.85,0,Emily_Watson|Devon_Murray|Pauline_McLynn|Alan_Parker,23
Andrew Davis,119.0,130.0,99.0,812.0,Daniel Roebuck,11000.0,183875760.0,Action|Adventure|Crime|Drama|Mystery|Thriller,Harrison Ford,The Fugitive ,213668,13357,Sela Ward,1.0,hospital|on the run|one armed man|surgeon|u.s. marshal,http://www.imdb.com/title/tt0106977/?ref_=fn_tt_tt_1,270.0,English,USA,PG-13,44000000.0,1993.0,1000.0,7.8,1.85,0,Harrison_Ford|Daniel_Roebuck|Sela_Ward|Andrew_Davis,0
Mark Steven Johnson,276.0,123.0,160.0,402.0,Matt Long,12000.0,115802596.0,Action|Fantasy|Thriller,Nicolas Cage,Ghost Rider ,182661,14017,Peter Fonda,1.0,blackheart|devil|father|ghost|mephistopheles,http://www.imdb.com/title/tt0259324/?ref_=fn_tt_tt_1,681.0,English,USA,PG-13,110000000.0,2007.0,701.0,5.2,2.35,0,Nicolas_Cage|Matt_Long|Peter_Fonda|Mark_Steven_Johnson,16
