,genres,plot_keywords,movie_title,actor_1_name,actor_2_name,actor_3_name,director_name,imdb_score,people,cat
548,Action|Animation|Comedy|Family,butt|downward duck|fish|kingfisher|pig,The Angry Birds Movie ,Peter Dinklage,Josh Gad,Keegan-Michael Key,Clay Kaytis,6.3,Peter_Dinklage|Josh_Gad|Keegan-Michael_Key|Clay_Kaytis,20
549,Action|Adventure|Comedy|Romance|Thriller,debt|rapper|treasure|treasure hunter|yacht,Fool's Gold ,Matthew McConaughey,Ray Winstone,Alexis Dziena,Andy Tennant,5.6,Matthew_McConaughey|Ray_Winstone|Alexis_Dziena|Andy_Tennant,21
550,Comedy|Drama,breasts|comedian|craigslist|infidelity|stand up comedian,Funny People ,Adam Sandler,RZA,Maude Apatow,Judd Apatow,6.4,Adam_Sandler|RZA|Maude_Apatow|Judd_Apatow,14
551,Action|Drama|Thriller,al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch,The Kingdom ,Jennifer Garner,Frances Fisher,Tim McGraw,Peter Berg,7.1,Jennifer_Garner|Frances_Fisher|Tim_McGraw|Peter_Berg,6
552,Action|Comedy|Sport,car racing|french|friend|nascar|racing,Talladega Nights: The Ballad of Ricky Bobby ,Will Ferrell,Leslie Bibb,Gary Cole,Adam McKay,6.6,Will_Ferrell|Leslie_Bibb|Gary_Cole|Adam_McKay,25
553,Comedy|Family|Fantasy,bear|doctor|false accusation|man with glasses|second part,Dr. Dolittle 2 ,Raven-Symon??,Jeffrey Jones,Kevin Pollak,Steve Carr,4.6,Raven-Symon??|Jeffrey_Jones|Kevin_Pollak|Steve_Carr,7
554,Biography|Drama|History|War,14th century|legend|revolt|scotland|tyranny,Braveheart ,Mhairi Calvey,Patrick McGoohan,James Robinson,Mel Gibson,8.4,Mhairi_Calvey|Patrick_McGoohan|James_Robinson|Mel_Gibson,35
555,Action|Drama|War,american abroad|gulf war|u.s. military|u.s. soldier|usmc,Jarhead ,Jake Gyllenhaal,Brian Geraghty,James Morrison,Sam Mendes,7.1,Jake_Gyllenhaal|Brian_Geraghty|James_Morrison|Sam_Mendes,35
556,Adventure|Animation|Comedy,alaska|dome|lake|pig|the simpsons,The Simpsons Movie ,Albert Brooks,Yeardley Smith,Marcia Wallace,David Silverman,7.4,Albert_Brooks|Yeardley_Smith|Marcia_Wallace|David_Silverman,20
557,Drama|Romance,amnesia|california|communist|small town|writer,The Majestic ,Martin Landau,Hal Holbrook,Jeffrey DeMunn,Frank Darabont,6.9,Martin_Landau|Hal_Holbrook|Jeffrey_DeMunn|Frank_Darabont,19
558,Action|Drama|Sport,car race|german|race car|race car driver|rookie,Driven ,Sylvester Stallone,Estella Warren,Cristi??n de la Fuente,Renny Harlin,4.5,Sylvester_Stallone|Estella_Warren|Cristi??n_de_la_Fuente|Renny_Harlin,36
559,Adventure|Drama|Family,circus|death of protagonist|jungle|killing an animal|tiger,Two Brothers ,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,Jean-Jacques Annaud,7.1,David_Gant|Jean-Claude_Dreyfus|Oanh_Nguyen|Jean-Jacques_Annaud,13
560,Drama|Mystery|Romance|Thriller,creature|pact|plot twist|village|woods,The Village ,Bryce Dallas Howard,Judy Greer,William Hurt,M. Night Shyamalan,6.5,Bryce_Dallas_Howard|Judy_Greer|William_Hurt|M._Night_Shyamalan,31
561,Comedy|Family|Fantasy,box office hit|doctor|dog|first part|tiger,Doctor Dolittle ,Oliver Platt,Raven-Symon??,Peter Boyle,Betty Thomas,5.3,Oliver_Platt|Raven-Symon??|Peter_Boyle|Betty_Thomas,7
562,Drama|Sci-Fi|Thriller,crop circle|faith|farm|glass of water|loss of faith,Signs ,Rory Culkin,Merritt Wever,Cherry Jones,M. Night Shyamalan,6.7,Rory_Culkin|Merritt_Wever|Cherry_Jones|M._Night_Shyamalan,31
563,Adventure|Animation|Comedy|Family|Fantasy|Romance,drag queen|physical appearance|princess|queen|sequel,Shrek 2 ,Rupert Everett,Jennifer Saunders,Conrad Vernon,Andrew Adamson,7.2,Rupert_Everett|Jennifer_Saunders|Conrad_Vernon|Andrew_Adamson,20
564,Adventure|Animation|Comedy|Family|Sport,car|desert|route 66|tow truck|truck,Cars ,John Ratzenberger,Cheech Marin,George Carlin,John Lasseter,7.2,John_Ratzenberger|Cheech_Marin|George_Carlin|John_Lasseter,20
565,Comedy|Romance,bride|columnist|journalist|maryland|wedding,Runaway Bride ,Julia Roberts,Christopher Meloni,Hector Elizondo,Garry Marshall,5.5,Julia_Roberts|Christopher_Meloni|Hector_Elizondo|Garry_Marshall,43
566,Action|Adventure|Thriller,agent|nsa|nsa agent|prague|russian,xXx ,Vin Diesel,Eve,Leila Arcieri,Rob Cohen,5.8,Vin_Diesel|Eve|Leila_Arcieri|Rob_Cohen,21
567,Adventure|Animation|Comedy|Family|Fantasy,book|magic|pirate|plankton|time machine,The SpongeBob Movie: Sponge Out of Water ,Tim Conway,Billy West,Eddie Deezen,Paul Tibbitt,6.0,Tim_Conway|Billy_West|Eddie_Deezen|Paul_Tibbitt,20
568,Crime|Thriller,bounty|fbi|millionaire|money|ransom,Ransom ,Lili Taylor,Delroy Lindo,Rene Russo,Ron Howard,6.6,Lili_Taylor|Delroy_Lindo|Rene_Russo|Ron_Howard,18
569,Adventure|Drama|War,france|german|nazis|revenge|scalping,Inglourious Basterds ,Michael Fassbender,Brad Pitt,Christoph Waltz,Quentin Tarantino,8.3,Michael_Fassbender|Brad_Pitt|Christoph_Waltz|Quentin_Tarantino,13
570,Adventure|Comedy|Family|Fantasy,1990s|caught in a net|children|duel|hero,Hook ,Robin Williams,Julia Roberts,Bob Hoskins,Steven Spielberg,6.7,Robin_Williams|Julia_Roberts|Bob_Hoskins|Steven_Spielberg,43
571,Action|Thriller,airport|fuel|plane|police|terrorist,Die Hard 2 ,Bruce Willis,John Amos,Franco Nero,Renny Harlin,7.1,Bruce_Willis|John_Amos|Franco_Nero|Renny_Harlin,21
572,Action|Adventure|Crime|Thriller,hostage|police|prison|swat team|training,S.W.A.T. ,Jeremy Renner,Josh Charles,LL Cool J,Clark Johnson,6.0,Jeremy_Renner|Josh_Charles|LL_Cool_J|Clark_Johnson,8
573,Fantasy|Mystery|Romance|Sci-Fi|Thriller,death|dream|love|lynchian|reality,Vanilla Sky ,Tom Cruise,Ivana Milicevic,Noah Taylor,Cameron Crowe,6.9,Tom_Cruise|Ivana_Milicevic|Noah_Taylor|Cameron_Crowe,31
574,Drama|Fantasy|Mystery|Thriller,apartment|bedtime story|eagle|stuttering|swimming pool,Lady in the Water ,Bryce Dallas Howard,Freddy Rodr??guez,Bob Balaban,M. Night Shyamalan,5.6,Bryce_Dallas_Howard|Freddy_Rodr??guez|Bob_Balaban|M._Night_Shyamalan,31
575,Action|Horror|Sci-Fi|Thriller,alien|antarctica|predator|pyramid|satellite,AVP: Alien vs. Predator ,Sanaa Lathan,Colin Salmon,Raoul Bova,Paul W.S. Anderson,5.6,Sanaa_Lathan|Colin_Salmon|Raoul_Bova|Paul_W.S._Anderson,28
576,Animation|Comedy|Family|Fantasy|Music,adidas|chipmunk|hospital|school|waste container,Alvin and the Chipmunks: The Squeakquel ,Amy Poehler,Bridgit Mendler,Jesse McCartney,Betty Thomas,4.5,Amy_Poehler|Bridgit_Mendler|Jesse_McCartney|Betty_Thomas,41
577,Action|Drama|History|War,air cavalry|battle|major|soldier|vietnamese,We Were Soldiers ,Jon Hamm,Marc Blucas,Chris Klein,Randall Wallace,7.1,Jon_Hamm|Marc_Blucas|Chris_Klein|Randall_Wallace,35
578,Action|Thriller,political thriller|politics|president|speaker of the house|u.s. president,Olympus Has Fallen ,Gerard Butler,Morgan Freeman,Radha Mitchell,Antoine Fuqua,6.5,Gerard_Butler|Morgan_Freeman|Radha_Mitchell|Antoine_Fuqua,24
579,Action|Adventure|Sci-Fi|Thriller,alien|captain|commander|conspiracy|planet,Star Trek: Insurrection ,LeVar Burton,Jonathan Frakes,Michael Dorn,Jonathan Frakes,6.4,LeVar_Burton|Jonathan_Frakes|Michael_Dorn|Jonathan_Frakes,21
580,Action|Sci-Fi,alien|extraterrestrial|invasion|marine|mission,Battle Los Angeles ,Noel Fisher,Jim Parrack,Ramon Rodriguez,Jonathan Liebesman,5.8,Noel_Fisher|Jim_Parrack|Ramon_Rodriguez|Jonathan_Liebesman,4
581,Adventure|Drama|Fantasy,dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman,Big Fish ,Steve Buscemi,Alison Lohman,Albert Finney,Tim Burton,8.0,Steve_Buscemi|Alison_Lohman|Albert_Finney|Tim_Burton,13
582,Drama|Horror|Romance|Thriller,blood|publisher|publishing house|werewolf|wolf,Wolf ,David Hyde Pierce,Peter Gerety,Ron Rifkin,Mike Nichols,6.2,David_Hyde_Pierce|Peter_Gerety|Ron_Rifkin|Mike_Nichols,11
583,Drama|War,barbed wire|british|cavalry|horse|world war one,War Horse ,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,Steven Spielberg,7.2,Jeremy_Irvine|Benedict_Cumberbatch|Eddie_Marsan|Steven_Spielberg,35
584,Drama|War,art|art expert|nazi stolen art|soldier|world war two,The Monuments Men ,Bill Murray,Matt Damon,Bob Balaban,George Clooney,6.1,Bill_Murray|Matt_Damon|Bob_Balaban|George_Clooney,12
585,Adventure|Drama|Sci-Fi|Thriller,alien|estranged couple|ocean|submarine|underwater,The Abyss ,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,James Cameron,7.6,Michael_Biehn|Todd_Graff|Mary_Elizabeth_Mastrantonio|James_Cameron,13
586,Drama,corporate greed|crisis|economy|greed|mentor,Wall Street: Money Never Sleeps ,Frank Langella,Austin Pendleton,John Buffalo Mailer,Oliver Stone,6.3,Frank_Langella|Austin_Pendleton|John_Buffalo_Mailer|Oliver_Stone,3
587,Action|Drama|Fantasy|Horror|War,death of wife|dracula|tarantula|turk|vampire,Dracula Untold ,Dominic Cooper,Sarah Gadon,Zach McGowan,Gary Shore,6.3,Dominic_Cooper|Sarah_Gadon|Zach_McGowan|Gary_Shore,35
588,Action|Thriller,abduction|martial law|military|new york city|terrorist,The Siege ,Denzel Washington,Bruce Willis,Mark Valley,Edward Zwick,6.3,Denzel_Washington|Bruce_Willis|Mark_Valley|Edward_Zwick,21
589,Adventure|Family|Fantasy|Romance,king|magic|one word title|pirate|village,Stardust ,Henry Cavill,David Kelly,Nathaniel Parker,Matthew Vaughn,7.7,Henry_Cavill|David_Kelly|Nathaniel_Parker|Matthew_Vaughn,7
590,Adventure|Biography|Drama|History|War,austria|dalai lama|himalaya|mountain|tibet,Seven Years in Tibet ,Brad Pitt,Mako,Victor Wong,Jean-Jacques Annaud,7.0,Brad_Pitt|Mako|Victor_Wong|Jean-Jacques_Annaud,35
591,Comedy|Drama,best friend|friend|investigation|secret|two word title,The Dilemma ,Channing Tatum,Clint Howard,Chelcie Ross,Ron Howard,5.3,Channing_Tatum|Clint_Howard|Chelcie_Ross|Ron_Howard,49
592,Action|Adventure|Comedy|Thriller,cia|cia agent|terrorist|twin|twin brother,Bad Company ,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,Joel Schumacher,5.6,Anthony_Hopkins|Brooke_Smith|Garcelle_Beauvais|Joel_Schumacher,21
593,Action|Adventure|Horror|Sci-Fi,commando unit|extra chromosome|first person shooter|special forces|teleportation,Doom ,Dwayne Johnson,Ben Daniels,Dexter Fletcher,Andrzej Bartkowiak,5.2,Dwayne_Johnson|Ben_Daniels|Dexter_Fletcher|Andrzej_Bartkowiak,4
594,Action|Adventure|Comedy|Thriller,boxer|espionage|spy|stealth|top secret,I Spy ,Gary Cole,Phill Lewis,Tate Taylor,Betty Thomas,5.4,Gary_Cole|Phill_Lewis|Tate_Taylor|Betty_Thomas,21
595,Action|Fantasy|Horror,battle|cryogenics|detective|scientist|vampire,Underworld: Awakening ,Theo James,Stephen Rea,Sandrine Holt,M??ns M??rlind,6.4,Theo_James|Stephen_Rea|Sandrine_Holt|M??ns_M??rlind,1
596,Comedy|Drama|Musical|Romance,concert|love|music industry|panties|pole dancer,Rock of Ages ,James Martin Kelly,Shane Hartline,Celina Beach,Adam Shankman,5.9,James_Martin_Kelly|Shane_Hartline|Celina_Beach|Adam_Shankman,0
597,Drama|War,colonel|honor|lieutenant|pilot|racism,Hart's War ,Bruce Willis,Cole Hauser,Rory Cochrane,Gregory Hoblit,6.3,Bruce_Willis|Cole_Hauser|Rory_Cochrane|Gregory_Hoblit,35
598,Action|Crime|Thriller,australia|death|mentor|revenge|secret society,Killer Elite ,Jason Statham,Robert De Niro,Ben Mendelsohn,Gary McKendry,6.5,Jason_Statham|Robert_De_Niro|Ben_Mendelsohn|Gary_McKendry,34
599,Action|Sci-Fi|Sport,ball|blood|skating|song|year 2005,Rollerball ,LL Cool J,Chris Klein,Andrew Bryniarski,John McTiernan,3.0,LL_Cool_J|Chris_Klein|Andrew_Bryniarski|John_McTiernan,4
600,Action|Crime|Sci-Fi|Thriller,blood splatter|camera shot from inside human body|combat|die hard scenario|fbi,Ballistic: Ecks vs. Sever ,Talisa Soto,Sandrine Holt,Gregg Henry,Wych Kaosayananda,3.6,Talisa_Soto|Sandrine_Holt|Gregg_Henry|Wych_Kaosayananda,8
601,Action|Crime|Drama|Thriller,dam|flood|money|police|sheriff,Hard Rain ,Morgan Freeman,Minnie Driver,Randy Quaid,Mikael Salomon,5.8,Morgan_Freeman|Minnie_Driver|Randy_Quaid|Mikael_Salomon,24
602,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,blood|body|egg|virus|white blood cell,Osmosis Jones ,Ron Howard,Brandy Norwood,David Hyde Pierce,Bobby Farrelly,6.2,Ron_Howard|Brandy_Norwood|David_Hyde_Pierce|Bobby_Farrelly,20
603,Adventure|Animation|Family|Fantasy|Musical,jester|kansas|oz|princess|tornado,Legends of Oz: Dorothy's Return ,Lea Michele,Oliver Platt,Jim Belushi,Will Finn,5.6,Lea_Michele|Oliver_Platt|Jim_Belushi|Will_Finn,16
604,Action|Crime|Drama|Mystery|Thriller,chinese|computer|cybercrime|hacker|one word title,Blackhat ,Chris Hemsworth,Archie Kao,Brandon Molale,Michael Mann,5.4,Chris_Hemsworth|Archie_Kao|Brandon_Molale|Michael_Mann,6
605,Action|Adventure|Mystery|Sci-Fi|Thriller,captain|pilot|reporter|robot|scientist,Sky Captain and the World of Tomorrow ,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Kerry Conran,6.1,Angelina_Jolie_Pitt|Laurence_Olivier|Bai_Ling|Kerry_Conran,21
606,Crime|Mystery|Thriller,drugs|murder|psychiatrist|scotland yard|sex,Basic Instinct 2 ,Charlotte Rampling,Indira Varma,Neil Maskell,Michael Caton-Jones,4.2,Charlotte_Rampling|Indira_Varma|Neil_Maskell|Michael_Caton-Jones,18
607,Action|Crime|Mystery|Sci-Fi|Thriller,cia agent|escape|muslim|prison|ship,Escape Plan ,Sylvester Stallone,50 Cent,Matt Gerald,Mikael H??fstr??m,6.7,Sylvester_Stallone|50_Cent|Matt_Gerald|Mikael_H??fstr??m,36
608,Action|Adventure|Fantasy,ancient greece|forbidden love|hercules|king|slavery,The Legend of Hercules ,Roxanne McKee,Luke Newberry,Gaia Weiss,Renny Harlin,4.2,Roxanne_McKee|Luke_Newberry|Gaia_Weiss|Renny_Harlin,23
609,Action|Drama|Thriller,analyst|cia|nuclear bomb|nuclear weapons|russia,The Sum of All Fears ,Morgan Freeman,Bruce McGill,Philip Baker Hall,Phil Alden Robinson,6.4,Morgan_Freeman|Bruce_McGill|Philip_Baker_Hall|Phil_Alden_Robinson,24
610,Adventure|Drama|Fantasy|Romance,friendship|graduation|revenge|vampire|werewolf,The Twilight Saga: Eclipse ,Robert Pattinson,Kristen Stewart,Anna Kendrick,David Slade,4.9,Robert_Pattinson|Kristen_Stewart|Anna_Kendrick|David_Slade,48
611,Crime|Drama|Thriller,partner|running|scepter|surveillance|thief,The Score ,Robert De Niro,Marlon Brando,Gary Farmer,Frank Oz,6.8,Robert_De_Niro|Marlon_Brando|Gary_Farmer|Frank_Oz,34
612,Animation|Comedy|Family,girl|minion|moon|pyramid|white picket fence,Despicable Me ,Steve Carell,Miranda Cosgrove,Jack McBrayer,Pierre Coffin,7.7,Steve_Carell|Miranda_Cosgrove|Jack_McBrayer|Pierre_Coffin,20
613,Action|Comedy|Crime|Drama|Thriller,bare breasts|breast|loan shark|subway|train,Money Train ,Vincent Pastore,Robert Blake,Aida Turturro,Joseph Ruben,5.6,Vincent_Pastore|Robert_Blake|Aida_Turturro|Joseph_Ruben,6
614,Comedy,baby|f word|fight|lawyer|marriage,Ted 2 ,Liam Neeson,Morgan Freeman,Seth MacFarlane,Seth MacFarlane,6.4,Liam_Neeson|Morgan_Freeman|Seth_MacFarlane|Seth_MacFarlane,38
615,Adventure|Drama|History|Romance,christian|love|philosophy|prefect|slave,Agora ,Max Minghella,Ashraf Barhom,Rupert Evans,Alejandro Amen??bar,7.2,Max_Minghella|Ashraf_Barhom|Rupert_Evans|Alejandro_Amen??bar,13
616,Action|Comedy|Fantasy|Sci-Fi,bowling|rajah|sphinx|spleen|superhero,Mystery Men ,Janeane Garofalo,Wes Studi,Eddie Izzard,Kinka Usher,6.0,Janeane_Garofalo|Wes_Studi|Eddie_Izzard|Kinka_Usher,4
617,Comedy|Romance,drugged food|female frontal nudity|male frontal nudity|male nudity|marriage,Hall Pass ,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,Bobby Farrelly,5.9,Jenna_Fischer|Larry_Joe_Campbell|Stephen_Merchant|Bobby_Farrelly,2
618,Biography|Drama|Thriller,cbs|cbs news|research|tobacco|whistleblower,The Insider ,Al Pacino,Rip Torn,Debi Mazar,Michael Mann,7.9,Al_Pacino|Rip_Torn|Debi_Mazar|Michael_Mann,33
619,Action|Drama|History|Thriller,1950s|coast guard|oil tanker|sinking ship|survival,The Finest Hours ,Michael Raymond-James,Abraham Benrubi,Graham McTavish,Craig Gillespie,6.8,Michael_Raymond-James|Abraham_Benrubi|Graham_McTavish|Craig_Gillespie,6
620,Action|Drama|Thriller,cia|jordan|middle east|spy|terrorist,Body of Lies ,Leonardo DiCaprio,Simon McBurney,Michael Gaston,Ridley Scott,7.1,Leonardo_DiCaprio|Simon_McBurney|Michael_Gaston|Ridley_Scott,39
621,Comedy,dinner|diorama|idiot|irs|mouse,Dinner for Schmucks ,Steve Carell,Stephanie Szostak,Bruce Greenwood,Jay Roach,5.9,Steve_Carell|Stephanie_Szostak|Bruce_Greenwood|Jay_Roach,17
622,Action|Fantasy|Horror,chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,Abraham Lincoln: Vampire Hunter ,Rufus Sewell,Dominic Cooper,Benjamin Walker,Timur Bekmambetov,5.9,Rufus_Sewell|Dominic_Cooper|Benjamin_Walker|Timur_Bekmambetov,1
623,Action|Crime|Romance|Thriller,art thief|insurance|mask|master thief|reference to iron maiden,Entrapment ,Will Patton,Kevin McNally,Maury Chaykin,Jon Amiel,6.2,Will_Patton|Kevin_McNally|Maury_Chaykin|Jon_Amiel,8
624,Drama|Mystery|Sci-Fi|Thriller,agent|alien|bomb|fbi|government,The X Files ,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,Rob Bowman,7.0,Martin_Landau|Mitch_Pileggi|Jeffrey_DeMunn|Rob_Bowman,31
625,Action|Adventure|Fantasy|War,5th century|boy|capri|roman legion|soldier,The Last Legion ,Colin Firth,Nonso Anozie,Owen Teale,Doug Lefler,5.4,Colin_Firth|Nonso_Anozie|Owen_Teale|Doug_Lefler,23
626,Action|Drama|War,army|invasion|killed in action|normandy|soldier,Saving Private Ryan ,Tom Hanks,Vin Diesel,Matt Damon,Steven Spielberg,8.6,Tom_Hanks|Vin_Diesel|Matt_Damon|Steven_Spielberg,12
627,Action|Crime|Drama|Thriller,cross country|custom car|illegal street racing|police officer crushed|street racing,Need for Speed ,Rami Malek,Dominic Cooper,Ramon Rodriguez,Scott Waugh,6.5,Rami_Malek|Dominic_Cooper|Ramon_Rodriguez|Scott_Waugh,6
628,Comedy|Fantasy|Romance,advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy,What Women Want ,Judy Greer,Lisa Edelstein,Loretta Devine,Nancy Meyers,6.4,Judy_Greer|Lisa_Edelstein|Loretta_Devine|Nancy_Meyers,2
629,Adventure|Animation|Comedy|Family,baby|ice|ice age|sleeping|sloth,Ice Age ,Goran Visnjic,Stephen Root,Denis Leary,Chris Wedge,7.6,Goran_Visnjic|Stephen_Root|Denis_Leary|Chris_Wedge,20
630,Drama|Horror|Sci-Fi|Thriller,alien|friend|maine|military|woods,Dreamcatcher ,Morgan Freeman,Michael O'Neill,Reece Thompson,Lawrence Kasdan,5.5,Morgan_Freeman|Michael_O'Neill|Reece_Thompson|Lawrence_Kasdan,24
631,Biography|Drama|History|War,cultural conflict|politics|president|slavery|u.s. president,Lincoln ,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,Steven Spielberg,7.4,Joseph_Gordon-Levitt|Hal_Holbrook|Bruce_McGill|Steven_Spielberg,40
632,Action|Sci-Fi,artificial reality|computer|matrix|questioning reality|simulated reality,The Matrix ,Keanu Reeves,Marcus Chong,Gloria Foster,Lana Wachowski,8.7,Keanu_Reeves|Marcus_Chong|Gloria_Foster|Lana_Wachowski,4
633,Adventure|Drama|History,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,Apollo 13 ,Tom Hanks,Miko Hughes,Kathleen Quinlan,Ron Howard,7.6,Tom_Hanks|Miko_Hughes|Kathleen_Quinlan|Ron_Howard,32
634,Comedy|Family|Fantasy,christmas|magic|santa claus|son|toy,The Santa Clause 2 ,Judge Reinhold,Aisha Tyler,Eric Lloyd,Michael Lembeck,5.5,Judge_Reinhold|Aisha_Tyler|Eric_Lloyd|Michael_Lembeck,7
635,Drama|Musical|Romance,barricade|innkeeper|parole|rebellion|student,Les Mis??rables ,Hugh Jackman,Eddie Redmayne,Anne Hathaway,Tom Hooper,7.6,Hugh_Jackman|Eddie_Redmayne|Anne_Hathaway|Tom_Hooper,19
636,Comedy|Drama|Romance,bookstore|competing businesses|instant messaging|new york city|shop owner,You've Got Mail ,Tom Hanks,Jean Stapleton,Dave Chappelle,Nora Ephron,6.5,Tom_Hanks|Jean_Stapleton|Dave_Chappelle|Nora_Ephron,32
637,Comedy,dream|friendship|karaoke|love|slacker,Step Brothers ,Will Ferrell,Adam Scott,Andrea Savage,Adam McKay,6.9,Will_Ferrell|Adam_Scott|Andrea_Savage|Adam_McKay,25
638,Action|Adventure|Comedy|Romance|Thriller|Western,19th century|california|revenge|training|zorro,The Mask of Zorro ,Anthony Hopkins,Tony Amendola,Stuart Wilson,Martin Campbell,6.7,Anthony_Hopkins|Tony_Amendola|Stuart_Wilson|Martin_Campbell,21
639,Comedy|Drama,actor|aspiring actor|birth|misadventure|suitcase,Due Date ,Robert Downey Jr.,RZA,Matt Walsh,Todd Phillips,6.6,Robert_Downey_Jr.|RZA|Matt_Walsh|Todd_Phillips,27
640,Biography|Drama|Sport|War,emaciation|male nudity|plane crash|prisoner of war|torture,Unbroken ,Finn Wittrock,Jack O'Connell,Alex Russell,Angelina Jolie Pitt,7.2,Finn_Wittrock|Jack_O'Connell|Alex_Russell|Angelina_Jolie_Pitt,35
641,Action|Adventure|Thriller,nasa|old age|satellite|space|space shuttle,Space Cowboys ,Clint Eastwood,Courtney B. Vance,William Devane,Clint Eastwood,6.4,Clint_Eastwood|Courtney_B._Vance|William_Devane|Clint_Eastwood,26
642,Action|Adventure|Thriller,money|mountain|rocky mountains|snow|suitcase,Cliffhanger ,Sylvester Stallone,Leon,Janine Turner,Renny Harlin,6.4,Sylvester_Stallone|Leon|Janine_Turner|Renny_Harlin,36
643,Action|Crime|Thriller,captain|desert|major|park ranger|utah,Broken Arrow ,Delroy Lindo,Samantha Mathis,Bob Gunton,John Woo,6.0,Delroy_Lindo|Samantha_Mathis|Bob_Gunton|John_Woo,8
644,Comedy|Family|Fantasy,altering history|cartoon on tv|childhood|image consultant|one two combo,The Kid ,Bruce Willis,Lily Tomlin,Daniel von Bargen,Jon Turteltaub,6.1,Bruce_Willis|Lily_Tomlin|Daniel_von_Bargen|Jon_Turteltaub,7
645,Drama|History|Thriller,based on true story|police|rescue|rubble|trapped,World Trade Center ,Nicolas Cage,Jay Hernandez,Armando Riesco,Oliver Stone,6.0,Nicolas_Cage|Jay_Hernandez|Armando_Riesco|Oliver_Stone,9
646,Drama,art|college|school|student|wellesley college,Mona Lisa Smile ,Julia Roberts,Kirsten Dunst,Marian Seldes,Mike Newell,6.4,Julia_Roberts|Kirsten_Dunst|Marian_Seldes|Mike_Newell,43
647,Comedy|Romance,dictator|hotel|oil|overalls|sunglasses,The Dictator ,Sayed Badreya,Aasif Mandvi,Horatio Sanz,Larry Charles,6.4,Sayed_Badreya|Aasif_Mandvi|Horatio_Sanz|Larry_Charles,2
648,Drama|Mystery|Thriller,doctor|orgy|party|pianist|sexual fantasy,Eyes Wide Shut ,Tom Cruise,Vinessa Shaw,Sydney Pollack,Stanley Kubrick,7.3,Tom_Cruise|Vinessa_Shaw|Sydney_Pollack|Stanley_Kubrick,31
649,Comedy|Drama|Family|Musical,billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,Annie ,Quvenzhan?? Wallis,Dorian Missick,David Zayas,Will Gluck,5.2,Quvenzhan??_Wallis|Dorian_Missick|David_Zayas|Will_Gluck,2
650,Comedy|Crime|Drama|Romance,con artist|con man|deception|rivalry|seduction,Focus ,Will Smith,Adrian Martinez,Gerald McRaney,Glenn Ficarra,6.6,Will_Smith|Adrian_Martinez|Gerald_McRaney|Glenn_Ficarra,2
651,Action|Comedy|Romance,best friend|cia|cia agent|dating|undercover,This Means War ,Tom Hardy,Abigail Spencer,Warren Christie,McG,6.3,Tom_Hardy|Abigail_Spencer|Warren_Christie|McG,2
652,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,blade|blood|dracula|vampire hunter|vampire slayer,Blade: Trinity ,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,David S. Goyer,5.9,Ryan_Reynolds|Natasha_Lyonne|John_Michael_Higgins|David_S._Goyer,28
653,Action|Drama|War,guerrilla|high school|invasion|soviet|wolverine,Red Dawn ,Lea Thompson,Jennifer Grey,William Smith,John Milius,6.4,Lea_Thompson|Jennifer_Grey|William_Smith|John_Milius,35
654,Comedy|Drama,campaigning|candidate|election|governor|president,Primary Colors ,Maura Tierney,Adrian Lester,Paul Guilfoyle,Mike Nichols,6.7,Maura_Tierney|Adrian_Lester|Paul_Guilfoyle|Mike_Nichols,2
655,Action|Horror|Sci-Fi|Thriller,corporation|fight|rescue|umbrella|zombie,Resident Evil: Retribution ,Milla Jovovich,Boris Kodjoe,Bingbing Li,Paul W.S. Anderson,5.4,Milla_Jovovich|Boris_Kodjoe|Bingbing_Li|Paul_W.S._Anderson,28
656,Action|Sci-Fi|Thriller,armored car|car|murder|prison|warden,Death Race ,Jason Statham,Max Ryan,Joan Allen,Paul W.S. Anderson,6.4,Jason_Statham|Max_Ryan|Joan_Allen|Paul_W.S._Anderson,28
657,Action|Crime|Drama|Mystery|Thriller,amnesia|chase|foot chase|strong female character|vomiting,The Long Kiss Goodnight ,Melina Kanakaredes,Craig Bierko,Yvonne Zima,Renny Harlin,6.7,Melina_Kanakaredes|Craig_Bierko|Yvonne_Zima|Renny_Harlin,6
658,Action|Drama|Thriller,jungle|pipeline|prisoner|ransom|south america,Proof of Life ,Pamela Reed,Alun Armstrong,Michael Kitchen,Taylor Hackford,6.2,Pamela_Reed|Alun_Armstrong|Michael_Kitchen|Taylor_Hackford,6
